"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1791388175224668376","Fri May 17 08:39:58 +0000 2024","0","He's a master politician but an absolute dogshit president. He used Messi to come into power and then kicked him out. Every once in a while he comes out with stuff like we have a better squad than madrid and you guys eat it up happily. Everytime.","1791388175224668376","","","en","","0","0","0","https://twitter.com/jamalsafwan10/status/1791388175224668376","1329550375691505664","jamalsafwan10"
"1791388171558686988","Fri May 17 08:39:57 +0000 2024","0","Same year Messi won the Treble?","1791388171558686988","","","en","Valhalla","0","0","0","https://twitter.com/Capegod007/status/1791388171558686988","1338199195182911490","Capegod007"
"1791384743902085199","Fri May 17 08:39:48 +0000 2024","0","@dijei37 Leo Messi larpuruga ","1791388133981835606","","dijei37","is","","0","0","0","https://twitter.com/zizujo01/status/1791388133981835606","1475439667512229890","zizujo01"
"1791385689952571877","Fri May 17 08:39:47 +0000 2024","0","@carmelodipaola Allora dovresti votare Democrazia Sovrana e Popolare gli altri mi sembrano tutti messi a 90 gradi.","1791388132128010722","","carmelodipaola","it","","0","0","0","https://twitter.com/Peppe24845112/status/1791388132128010722","1159177538826113024","Peppe24845112"
"1791361657324904939","Fri May 17 08:39:47 +0000 2024","0","@MagicalXavi Never Trust a liar who are also a corrupt politician","1791388132102783040","","MagicalXavi","en","","0","0","0","https://twitter.com/ThatMessiGuy/status/1791388132102783040","1592794937719930880","ThatMessiGuy"
"1791344207187100042","Fri May 17 08:39:39 +0000 2024","0","@M30Xtra Pep only buys messi fanboys ","1791388097663619204","","M30Xtra","en","","0","0","0","https://twitter.com/_khush_010/status/1791388097663619204","1623045521710682112","_khush_010"
"1791386327776203142","Fri May 17 08:39:39 +0000 2024","0","@antperez_anprz O se pire a entrenar a Messi o algo similar","1791388095729807772","","antperez_anprz","pt","","0","0","0","https://twitter.com/Xus11bis/status/1791388095729807772","1341472137484374016","Xus11bis"
"1791115862377652252","Fri May 17 08:39:33 +0000 2024","0","@ney2maa Is just that we Messi fans ..we don make noise all we want is watch Messi play good football and breaks records ...#jackiechan once said and I qoute .. those who know don't talk and those who talk don't know ","1791388071763566933","","ney2maa","en","my lane ","0","0","0","https://twitter.com/Abayomi_kahlil/status/1791388071763566933","1653550433003094016","Abayomi_kahlil"
"1791388063215616107","Fri May 17 08:39:31 +0000 2024","0","Cristiano Ronaldo and Lionel Messi are more popular than every other sportsman that has ever existed. Don't compare them with these others","1791388063215616107","","","en","Cloud 9","0","0","0","https://twitter.com/Cool_Ruler324/status/1791388063215616107","1439249259371638790","Cool_Ruler324"
"1790936239605997894","Fri May 17 08:39:24 +0000 2024","0","@Neezy_Beatz @Footyknowit Stop contradicting yourself you say Suarez was cheated yet Messi is a GOAT. Make up your mind.","1791388036225224776","","Neezy_Beatz","en","Soweto","0","0","0","https://twitter.com/LeoSam_SA/status/1791388036225224776","412041915","LeoSam_SA"
"1791363791327801358","Fri May 17 08:39:24 +0000 2024","0","@SirAlexei @cxrlxandone El Cholo ganó una liga al Barça de Messi y al Madrid de Cristiano con un equipo que valía 10 veces menos Llevo al Atleti a dos finales de Champions en 3 años eliminando al Bayern de Guardiola al Barça de Messi Suárez y Neymar... Que fácil olvidáis algunos","1791388035608728023","","SirAlexei","es","","0","0","0","https://twitter.com/SaulismoATM/status/1791388035608728023","1586292658393292801","SaulismoATM"
"1791386436396077377","Fri May 17 08:39:21 +0000 2024","0","@zangobinks La sortie de Messi nous a tous dérangés mais celle de piqué nous a quasi rien fait","1791388022052651310","","zangobinks","fr","Barcelone, Espagne","0","0","0","https://twitter.com/louiswill31/status/1791388022052651310","1535641039247134722","louiswill31"
"1791388021532606924","Fri May 17 08:39:21 +0000 2024","0","Very few people make my life worth living and Lionel Messi is one of them.","1791388021532606924","","","en","Studio","0","0","0","https://twitter.com/Iamlvrz/status/1791388021532606924","894341235812577280","Iamlvrz"
"1791388017954861441","Fri May 17 08:39:20 +0000 2024","0","Le quoi @GQ_France ? #Messi #AnatomieDuneChute https://t.co/aEpNT1PKH8","1791388017954861441","https://pbs.twimg.com/media/GNxJ56AX0AAh0yk.jpg","","fr","Terre-616","0","0","0","https://twitter.com/RolandRuquier/status/1791388017954861441","1944726612","RolandRuquier"
"1791357927229411655","Fri May 17 08:39:16 +0000 2024","0","@barcasstuff Same happened with Messi with Koeman Making promises and then breaking them Joan Laporta knows no honor","1791387999311175789","","barcasstuff","en","The Netherlands","0","0","0","https://twitter.com/henkslab/status/1791387999311175789","54944955","henkslab"
"1791371360175825196","Fri May 17 08:39:14 +0000 2024","0","@_pete_handsome @_Bignanaa @_iwuese @Cocca1na @Papijnr0 @percyyy01 @ThisisPrudy @Messi_Lives_On @AngeleMalaikaa1 @temi_rossie_ @getterboyy Haha him too no wan chop eba","1791387990905815172","","_pete_handsome","tl","Benin","0","0","0","https://twitter.com/na_omi0/status/1791387990905815172","1766506335921721344","na_omi0"
"1791387965870010708","Fri May 17 08:39:08 +0000 2024","0","La différence de niveau est grande les pro Messi . https://t.co/e4QR8LFJSl","1791387965870010708","https://pbs.twimg.com/media/GNxJ290XYAEw98v.jpg","","fr","VINLAND","0","0","0","https://twitter.com/RmaAiger/status/1791387965870010708","1764329996145803264","RmaAiger"
"1791384439517225442","Fri May 17 08:39:07 +0000 2024","0","@masolinismo Gioca meno partite di Caldara e Maignan messi assieme https://t.co/ZOzLcvyvMt","1791387964502622570","https://pbs.twimg.com/media/GNxJ22OW8AAWZ32.jpg","masolinismo","it","Italia","0","0","0","https://twitter.com/PirasTwitch/status/1791387964502622570","1432605047490322434","PirasTwitch"
"1791387957498175550","Fri May 17 08:39:06 +0000 2024","0","BUENO IGUAL NO ME PONGO LA CAMI DE MESSI E ESQUE TENGO UNA NUEVA QUE PONE FUTURE MILF","1791387957498175550","","","es","","0","0","0","https://twitter.com/casirurubia/status/1791387957498175550","1579417715554516994","casirurubia"
