"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1791350275024068875","Fri May 17 06:09:21 +0000 2024","0","Presiden Joko Widodo (Jokowi) menerima kunjungan kenegaraan Gubernur Jenderal Australia David Hurley di Istana Bogor pada hari ini Jumat (17/5) pagi. Selengkapnya: https://t.co/7jQBjn52Ro","1791350275024068875","","","in","","0","0","0","https://twitter.com/firstindomagz/status/1791350275024068875","1391303722169298945","firstindomagz"
"1791279180837245259","Fri May 17 06:09:15 +0000 2024","0","@xquitavee @jokowi Terbaik dari yang pernah ada. ","1791350246469194100","","xquitavee","in","","0","0","0","https://twitter.com/boyheboy/status/1791350246469194100","634667156","boyheboy"
"1791349403019862203","Fri May 17 06:09:01 +0000 2024","0","@choymarkochoy Ternyata dia anteknya jokowi toohh..udah kaya dia skrg","1791350188348703045","","choymarkochoy","in","","0","0","0","https://twitter.com/SonyaTambu55523/status/1791350188348703045","1641664323746664449","SonyaTambu55523"
"1791107084471370016","Fri May 17 06:08:47 +0000 2024","0","@MurtadhaOne1 @jokowi @Kemdikbud_RI Lha bapak baru kaget? Saya sdh 10 tahun ini kagetan mulu hidup di indonesia","1791350128672113021","","MurtadhaOne1","in","","0","0","0","https://twitter.com/kb_112_ul/status/1791350128672113021","1779740246068142080","kb_112_ul"
"1791283214000259234","Fri May 17 06:08:38 +0000 2024","0","@momon_garuk44 Sudahlah Mon... kamu ngapain sih nyerang Bu Mega? Beliau ga ikut pilpres ga mengatakan hal2 negatif ttg Jokowi Prabowo Gibran Ada apa dg hatimu Mon? Hatinya dijaga ya Mon...","1791350091112194395","","momon_garuk44","in","most beautiful place on earth","0","0","0","https://twitter.com/staysaferek/status/1791350091112194395","932657813930721280","staysaferek"
"1791349999953117570","Fri May 17 06:08:16 +0000 2024","0","Hmm menarik ya... PDIP gak undang Presiden @Jokowi karena katanya sibuk dan menyibukan diri ???? bukanya memang jadi Presiden itu sibuk ya? dengan segala tanggung jawabnya buat kesejahteraan rakyat? kayanya ga pas aja kalo dibilang menyibukan diri #PDIP","1791349999953117570","","","in","","0","1","0","https://twitter.com/JatmikoRifiawan/status/1791349999953117570","1738128861920133120","JatmikoRifiawan"
"1791100081330180234","Fri May 17 06:08:06 +0000 2024","0","@opposite6892 Akun opposite kehilangan taring wkwk sejak Prabowo join Jokowi dari 2019 sebenernya udah kelihatan klo situ sama om Hulk itu bawahan Prabowo","1791349959432016324","","opposite6892","in","","0","0","0","https://twitter.com/galkosaa/status/1791349959432016324","1388945543598985218","galkosaa"
"1791345380359028856","Fri May 17 06:07:47 +0000 2024","0","@Dennysiregar7 @jokowi 9 tahun anda kemana aja anda sibuk nyari utang dan potong Vita anda mmg penuh dgn Drama","1791349877496234482","","Dennysiregar7","in","","0","0","0","https://twitter.com/NSuwirtana62534/status/1791349877496234482","1752703048605151233","NSuwirtana62534"
"1790688017365237973","Fri May 17 06:07:45 +0000 2024","0","@el4n9bint4n9 @AlfiSJr1 @jokowi @luhut_binsar @prabowo Apa tulisannya?","1791349870194053505","","el4n9bint4n9","in","Jakarta Pusat, DKI Jakarta","0","0","0","https://twitter.com/meitag1/status/1791349870194053505","1131173087443951616","meitag1"
"1791298064583622767","Fri May 17 06:07:19 +0000 2024","0","@dikaham18 @Fahrihamzah @jokowi Andil'y dan Kontribusi ke Pak Lurah kurang besar. Sdh di cap Pling Plang...!!","1791349763558035713","","dikaham18","in","Köln","0","0","0","https://twitter.com/Auguzta_2024/status/1791349763558035713","1072428401527410689","Auguzta_2024"
"1790620877308174403","Fri May 17 06:07:09 +0000 2024","0","@PakarINTELek Sekalian saja 99 9999999% sisain saya saja yg tidak puas dengan cara Pak Jokowi cawe cawe kepada anak2 dan mebantunya yg songgong2 itu","1791349721665249477","","PakarINTELek","in","","0","1","0","https://twitter.com/lucihappy11/status/1791349721665249477","1134301327972978690","lucihappy11"
"1791110685352710578","Fri May 17 06:06:58 +0000 2024","0","@KompasTV @jokowi Presiden 10 tahun kagetan.","1791349672893968748","","KompasTV","in","East Timor","0","0","0","https://twitter.com/diakmoris/status/1791349672893968748","1649665310541361152","diakmoris"
"1791140743874244959","Fri May 17 06:06:55 +0000 2024","0","@H4T14K4LN4L42 @jokowi @ListyoSigitP @DivHumas_Polri Bukannya mobil dinas memang punya 2 nomer ya? Nomer sipil dan nomor dinas? Atau selama ini gue dibohongin?","1791349661988778293","","H4T14K4LN4L42","in","Jakarta","0","0","0","https://twitter.com/kura2giok/status/1791349661988778293","58405028","kura2giok"
"1791349592208105961","Fri May 17 06:06:39 +0000 2024","0","hayo para pengusaha umkm! Dekranas mau bantu kalian naik kelas nih. di acaranya dekarnas juga undang ibu Iriana Jokowi serta seluruh pengurus dekarnas #DekranasUMKMMaju cek selengkapnya disini : https://t.co/9cHR3N305q https://t.co/xJIFZcwcDf","1791349592208105961","https://pbs.twimg.com/media/GNwm81GbsAAzIGe.jpg","","in","Penjaringan, Indonesia","0","0","0","https://twitter.com/zel_yums/status/1791349592208105961","2377453254","zel_yums"
"1791349442827956656","Fri May 17 06:06:03 +0000 2024","0","semoga di usia ke 44 dekranas makin maju dan sejahtera #DekranasUMKMMaju untuk semua acaranya pasti meriah karena akan mengundang seluruh pengurus dan juga ibu negara iriana jokowi akan datang loh . cek infonya disini ya https://t.co/OQRxuNNBWV https://t.co/p1Nck1vOrz","1791349442827956656","https://pbs.twimg.com/media/GNwm0u0boAAWq2O.jpg","","in","","0","0","0","https://twitter.com/gafrank_1/status/1791349442827956656","2650917685","gafrank_1"
"1790738876321157221","Fri May 17 06:06:00 +0000 2024","0","@tempodotco @korantempo @temponewsroom Pak Jok @jokowi Tau gak yg begini an ?","1791349432178634834","","tempodotco","in","","0","0","0","https://twitter.com/hansssiahaan/status/1791349432178634834","1747170222786932736","hansssiahaan"
"1791349428173033759","Fri May 17 06:05:59 +0000 2024","0","ibu negara iriana jokowi pun ikut serta dalam hut dekranas ke 44 yg digelar di solo semoga tidak hanya dekranas yg melakukan kegiatan ini untuk kedepannya berharap seluruh komponen di luar pemerintahan juga bisa. #DekranasUMKMMaju cek aja linknya https://t.co/LmPv9AN8Qp https://t.co/MY4BKRotYv","1791349428173033759","https://pbs.twimg.com/media/GNwmzVabMAA4Qxq.jpg","","in","","0","0","0","https://twitter.com/mahdilesmana_/status/1791349428173033759","1173067914284425216","mahdilesmana_"
"1791349412666671523","Fri May 17 06:05:56 +0000 2024","0","wah wah hut dekranas ke 44 yang akan di gelar disolo akan mengundang iriana jokowi mantep nih #DekranasUMKMMaju info lebih lanjut cek disini yahh https://t.co/xEqlRiZP1M https://t.co/6p31FkjYyA","1791349412666671523","https://pbs.twimg.com/media/GNwmyuRaMAAv27n.jpg","","in","","0","0","0","https://twitter.com/iamvsmymind/status/1791349412666671523","323937760","iamvsmymind"
"1790970874868412591","Fri May 17 06:05:53 +0000 2024","0","@PartaiSocmed Wkwkwk baru 70 perak klturun smpe 12 rbu baru namanya jokowi","1791349400310263834","","PartaiSocmed","in","","0","0","0","https://twitter.com/KokoPra77853147/status/1791349400310263834","1278687077014532097","KokoPra77853147"
"1791349320928882752","Fri May 17 06:05:34 +0000 2024","0","ibu iriana jokowi dan seluruh pengurus diundang dalam hut ke 44 ini kegiatan ini diharapkan bisa meningkatkan kapasitas pelaku umkm di indonesia. #DekranasUMKMMaju berita lengkapnya https://t.co/hdGo8MojWe https://t.co/MtUOTX9CPl","1791349320928882752","https://pbs.twimg.com/media/GNwmbE-bUAAMtBj.jpg","","in","","0","0","0","https://twitter.com/blemifh/status/1791349320928882752","2757402387","blemifh"
"1791349178175570430","Fri May 17 06:05:00 +0000 2024","0","fyi hut dekarnas ke-44 yang di gelar disolo turut mengundang bu iriana jokowi loh semoga dengan adanya kegiatan ini bisa mendorong instansi lain untuk ikut mendukung peningkatan kapasitas pelaku umkm. #DekranasUMKMMaju baca berita lengkapnya disini: https://t.co/cahG9GwB40 https://t.co/OwnPUOmR4H","1791349178175570430","https://pbs.twimg.com/media/GNwRs6ua4AEYQjc.jpg","","in","Indonesia","0","0","0","https://twitter.com/Sunsetsendja/status/1791349178175570430","291276308","Sunsetsendja"
"1791349178125504856","Fri May 17 06:05:00 +0000 2024","0","pada hut dekranas ke-44 yang digelar di solo mengundang seluruh pengurus dan juga ibu iriana jokowi. ketua dekranas berharap stakeholder dapat mendukung peningkatan kapasitas umkm di kota solo. #DekranasUMKMMaju cek berita lengkapnya disini: https://t.co/VmSEOTF4Gc https://t.co/8KI9pVbhgQ","1791349178125504856","https://pbs.twimg.com/media/GNwT9GGa4AEpjQw.jpg","","in","Indonesia","0","0","0","https://twitter.com/transfter/status/1791349178125504856","1246612646406664194","transfter"
"1791279180837245259","Fri May 17 06:04:58 +0000 2024","0","@xquitavee @jokowi Iya laah Hasilnya ini https://t.co/4W03uElQQn","1791349170948960376","https://pbs.twimg.com/media/GNwmksra8AAO_J0.jpg","xquitavee","in","Skypiea","0","0","0","https://twitter.com/kucingbumbum/status/1791349170948960376","1546034308003266560","kucingbumbum"
